filename,length_to_width_ratio,n_strokes_detected,orientation_hist_0,orientation_hist_1,orientation_hist_10,orientation_hist_11,orientation_hist_2,orientation_hist_3,orientation_hist_4,orientation_hist_5,orientation_hist_6,orientation_hist_7,orientation_hist_8,orientation_hist_9,stroke_curvature_mean,stroke_curvature_std,stroke_length_mean,stroke_length_std,stroke_width_mean,stroke_width_std
rembrandt_rijks_200107942.png,4.437276,713,0.006691,0.003584,0.000717,0.0,0.003106,0.005257,0.00454,0.003823,0.019355,0.009797,0.005257,0.00454,0.544866,0.254369,8.874552,6.616643,2.0,0.0
rembrandt_rijks_200107944.jpg,15.485671,447,0.010753,0.002151,0.000478,0.000239,0.003106,0.004301,0.002867,0.003106,0.029391,0.005974,0.002867,0.001434,0.505179,0.316339,30.978495,68.2707,2.000462,0.005655
rembrandt_rijks_200107944.png,15.538916,452,0.010476,0.001905,0.000714,0.000238,0.002857,0.003571,0.003571,0.003333,0.029762,0.006429,0.002857,0.000952,0.520575,0.303458,31.085714,67.945512,2.000507,0.006063
rembrandt_rijks_200107945.jpg,4.670608,2148,0.002252,0.003604,0.000225,0.0,0.002928,0.006081,0.00473,0.006306,0.027027,0.007658,0.003829,0.002027,0.623665,0.233794,9.341216,7.27327,2.0,0.0
rembrandt_rijks_200107945.png,4.828179,2136,0.001833,0.002749,0.000229,0.0,0.003207,0.005498,0.005269,0.007102,0.026575,0.00756,0.004124,0.00252,0.620115,0.227541,9.656357,7.43994,2.0,0.0
rembrandt_rijks_200107952.jpg,4.755688,413,0.010628,0.001932,0.001932,0.0,0.001932,0.005797,0.004831,0.004187,0.014493,0.007085,0.006763,0.007085,0.540785,0.26009,9.521739,13.656527,2.002179,0.020922
rembrandt_rijks_200107952.png,4.946701,402,0.010829,0.002707,0.003046,0.0,0.002369,0.005415,0.003723,0.004738,0.015905,0.006768,0.005753,0.005415,0.519916,0.25844,9.893401,13.745467,2.0,0.0
rembrandt_rijks_200138946.jpg,7.173139,490,0.012082,0.004099,0.000216,0.0,0.003452,0.005394,0.004099,0.003883,0.023732,0.004315,0.003883,0.00151,0.541677,0.292522,14.346278,28.544971,2.0,0.0
rembrandt_rijks_200138946.png,7.245098,490,0.0122,0.004139,0.000218,0.0,0.003704,0.005229,0.004357,0.003922,0.023312,0.004793,0.003486,0.001307,0.537125,0.291658,14.490196,28.901821,2.0,0.0
rembrandt_rijks_20022176.jpg,4.658784,675,0.004279,0.004054,0.00045,0.0,0.002027,0.005856,0.005631,0.003378,0.024324,0.008333,0.004054,0.004279,0.577462,0.217006,9.317568,6.151837,2.0,0.0
rembrandt_rijks_20022176.png,4.613718,698,0.004091,0.004091,0.000481,0.0,0.003369,0.004573,0.004091,0.003851,0.024789,0.009146,0.004091,0.004091,0.586095,0.229673,9.227437,5.760776,2.0,0.0
rembrandt_rijks_20026156.jpg,4.00463,386,0.009259,0.004321,0.000309,0.0,0.004012,0.005556,0.005864,0.004321,0.015741,0.008951,0.005247,0.003086,0.533671,0.257948,8.009259,4.766774,2.0,0.0
rembrandt_rijks_20026156.png,4.006881,382,0.008563,0.004587,0.000306,0.0,0.002752,0.00581,0.005199,0.004893,0.016514,0.008869,0.007034,0.002141,0.542173,0.264014,8.013761,4.295805,2.0,0.0
rembrandt_rijks_20026162.jpg,4.286616,1262,0.001885,0.004711,0.0,0.0,0.003534,0.006596,0.008009,0.006596,0.017903,0.009423,0.003298,0.004711,0.634006,0.208839,8.579505,5.441939,2.001464,0.024579
rembrandt_rijks_20026162.png,4.466852,1209,0.003716,0.002404,0.0,0.0,0.001749,0.008743,0.005902,0.00612,0.020984,0.008306,0.004809,0.003934,0.611849,0.234798,8.940984,5.095462,2.00163,0.018638
rembrandt_rijks_200639587.jpg,4.819865,600,0.010999,0.004938,0.000224,0.0,0.003816,0.004714,0.005387,0.004714,0.018631,0.006734,0.002245,0.004265,0.559865,0.295302,9.639731,6.951116,2.0,0.0
rembrandt_rijks_200639587.png,4.907345,607,0.010058,0.004211,0.0,0.0,0.00538,0.005614,0.004912,0.005614,0.018012,0.00655,0.003509,0.002807,0.546316,0.285133,9.817544,7.041858,2.000581,0.009797
rembrandt_rijks_200642954.jpg,6.89083,411,0.010771,0.003785,0.0,0.0,0.005822,0.005822,0.002911,0.003785,0.02067,0.006987,0.003202,0.002911,0.50784,0.294037,13.781659,31.054613,2.0,0.0
rembrandt_rijks_200642954.png,7.007896,425,0.009778,0.005333,0.0,0.0,0.00237,0.007407,0.003259,0.003259,0.023407,0.006222,0.003556,0.002074,0.557621,0.290599,14.017778,31.209965,2.000283,0.004239
